run_id,band,region_id,region_start_mhz,region_end_mhz,bin_count
20260618T0036Z,600_800,1,600.5,607.5,8
20260618T0036Z,600_800,2,608.5,621.5,14
20260618T0036Z,600_800,3,622.5,641.5,20
20260618T0036Z,600_800,4,642.5,646.5,5
20260618T0036Z,600_800,5,647.5,656.5,10
20260618T0036Z,600_800,6,657.5,662.5,6
20260618T0036Z,600_800,7,663.5,675.5,13
20260618T0036Z,600_800,8,676.5,689.5,14
20260618T0036Z,600_800,9,690.5,699.5,10
20260618T0036Z,600_800,10,700.5,716.5,17
20260618T0036Z,600_800,11,717.5,721.5,5
20260618T0036Z,600_800,12,722.5,728.5,7
20260618T0036Z,600_800,13,729.5,734.5,6
20260618T0036Z,600_800,14,735.5,743.5,9
20260618T0036Z,600_800,15,744.5,745.5,2
20260618T0036Z,600_800,16,746.5,755.5,10
20260618T0036Z,600_800,17,756.5,757.5,2
20260618T0036Z,600_800,18,758.5,767.5,10
20260618T0036Z,600_800,19,768.5,768.5,1
20260618T0036Z,600_800,20,769.5,774.5,6
20260618T0036Z,600_800,21,775.5,799.5,25
20260618T0036Z,2400_2600,1,2400.5,2496.5,97
20260618T0036Z,2400_2600,2,2497.5,2594.5,98
20260618T0036Z,2400_2600,3,2595.5,2599.5,5
20260618T0036Z,3500_3700,1,3500.5,3549.5,50
20260618T0036Z,3500_3700,2,3550.5,3589.5,40
20260618T0036Z,3500_3700,3,3590.5,3649.5,60
20260618T0036Z,3500_3700,4,3650.5,3699.5,50
20260628T0436Z,600_800,1,600.5,607.5,8
20260628T0436Z,600_800,2,608.5,621.5,14
20260628T0436Z,600_800,3,622.5,641.5,20
20260628T0436Z,600_800,4,642.5,646.5,5
20260628T0436Z,600_800,5,647.5,656.5,10
20260628T0436Z,600_800,6,657.5,662.5,6
20260628T0436Z,600_800,7,663.5,675.5,13
20260628T0436Z,600_800,8,676.5,689.5,14
20260628T0436Z,600_800,9,690.5,699.5,10
20260628T0436Z,600_800,10,700.5,716.5,17
20260628T0436Z,600_800,11,717.5,721.5,5
20260628T0436Z,600_800,12,722.5,728.5,7
20260628T0436Z,600_800,13,729.5,734.5,6
20260628T0436Z,600_800,14,735.5,743.5,9
20260628T0436Z,600_800,15,744.5,745.5,2
20260628T0436Z,600_800,16,746.5,755.5,10
20260628T0436Z,600_800,17,756.5,757.5,2
20260628T0436Z,600_800,18,758.5,767.5,10
20260628T0436Z,600_800,19,768.5,768.5,1
20260628T0436Z,600_800,20,769.5,774.5,6
20260628T0436Z,600_800,21,775.5,799.5,25
20260628T0436Z,2400_2600,1,2400.5,2408.5,9
20260628T0436Z,2400_2600,2,2409.5,2480.5,72
20260628T0436Z,2400_2600,3,2481.5,2496.5,16
20260628T0436Z,2400_2600,4,2497.5,2594.5,98
20260628T0436Z,2400_2600,5,2595.5,2599.5,5
20260628T0436Z,3500_3700,1,3500.5,3549.5,50
20260628T0436Z,3500_3700,2,3550.5,3589.5,40
20260628T0436Z,3500_3700,3,3590.5,3649.5,60
20260628T0436Z,3500_3700,4,3650.5,3699.5,50
20260703T1839Z,600_800,1,600.5,607.5,8
20260703T1839Z,600_800,2,608.5,621.5,14
20260703T1839Z,600_800,3,622.5,641.5,20
20260703T1839Z,600_800,4,642.5,646.5,5
20260703T1839Z,600_800,5,647.5,656.5,10
20260703T1839Z,600_800,6,657.5,662.5,6
20260703T1839Z,600_800,7,663.5,675.5,13
20260703T1839Z,600_800,8,676.5,689.5,14
20260703T1839Z,600_800,9,690.5,699.5,10
20260703T1839Z,600_800,10,700.5,716.5,17
20260703T1839Z,600_800,11,717.5,721.5,5
20260703T1839Z,600_800,12,722.5,728.5,7
20260703T1839Z,600_800,13,729.5,734.5,6
20260703T1839Z,600_800,14,735.5,743.5,9
20260703T1839Z,600_800,15,744.5,745.5,2
20260703T1839Z,600_800,16,746.5,755.5,10
20260703T1839Z,600_800,17,756.5,757.5,2
20260703T1839Z,600_800,18,758.5,767.5,10
20260703T1839Z,600_800,19,768.5,768.5,1
20260703T1839Z,600_800,20,769.5,774.5,6
20260703T1839Z,600_800,21,775.5,799.5,25
